time,ecg
0.000000,0.016565
0.003908,0.020775
0.007816,0.026432
0.011723,0.034547
0.015631,0.045337
0.019539,0.058163
0.023447,0.071866
0.027354,0.085389
0.031262,0.098293
0.035170,0.110818
0.039078,0.123556
0.042986,0.137039
0.046893,0.151569
0.050801,0.167298
0.054709,0.184348
0.058617,0.202781
0.062524,0.222490
0.066432,0.243233
0.070340,0.264895
0.074248,0.287717
0.078156,0.312121
0.082063,0.338077
0.085971,0.364430
0.089879,0.388883
0.093787,0.408915
0.097694,0.423168
0.101602,0.432315
0.105510,0.438664
0.109418,0.444610
0.113326,0.450921
0.117233,0.456003
0.121141,0.456686
0.125049,0.450029
0.128957,0.434941
0.132864,0.412559
0.136772,0.385222
0.140680,0.354781
0.144588,0.321336
0.148496,0.283208
0.152403,0.238183
0.156311,0.185345
0.160219,0.126400
0.164127,0.065559
0.168034,0.007888
0.171942,-0.042976
0.175850,-0.086328
0.179758,-0.124178
0.183665,-0.159470
0.187573,-0.193910
0.191481,-0.226753
0.195389,-0.255248
0.199297,-0.276436
0.203204,-0.289101
0.207112,-0.294634
0.211020,-0.296306
0.214928,-0.297528
0.218835,-0.300232
0.222743,-0.304313
0.226651,-0.308251
0.230559,-0.310377
0.234467,-0.309950
0.238374,-0.307461
0.242282,-0.304126
0.246190,-0.300978
0.250098,-0.298248
0.254005,-0.295436
0.257913,-0.291932
0.261821,-0.287563
0.265729,-0.282564
0.269637,-0.277066
0.273544,-0.270725
0.277452,-0.262984
0.281360,-0.253813
0.285268,-0.244212
0.289175,-0.235890
0.293083,-0.230196
0.296991,-0.227062
0.300899,-0.224821
0.304807,-0.221150
0.308714,-0.214542
0.312622,-0.205298
0.316530,-0.195366
0.320438,-0.187150
0.324345,-0.182050
0.328253,-0.179632
0.332161,-0.177982
0.336069,-0.175063
0.339977,-0.170273
0.343884,-0.165073
0.347792,-0.162039
0.351700,-0.162820
0.355608,-0.166465
0.359515,-0.169516
0.363423,-0.168075
0.367331,-0.160522
0.371239,-0.148957
